End of Period,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks,Investments_Govt.of Sri Lanka_Treasury Bills,Investments_Govt.of Sri Lanka_Treasury Bonds (b),Investments_Govt.of Sri Lanka_Other Govt. of Sri Lanka Securities,Investments_Other Investments (c),Loans and Advances_Bills Purchased and Discounted_Local,Loans and Advances_Bills Purchased and Discounted_Imports,Loans and Advances_Bills Purchased and Discounted_Exports,Loans and Advances_Overdrafts,Loans and Advances_Loans,Loans and Advances_Total Loans and Advance (b),Fixed and Other Assets,Total Assets or Liabilities,Percentage of Liquid Assets to Demand Deposits,Percentage of Loans & Advances to Total Deposits
2004-06-01,14992.72423,43213.238791,18173.647633,14862.79971,129588.719195,26443.972785,46590.384442,9516.171595,24273.602906,32.265499,5442.659947,8716.329993,120303.315362,344442.108271,478936.67907199997,138260.934492,944852.8748509999,286.32565695379617,69.0165979059521
2004-07-01,14504.878657,49336.381046,18378.263161,14082.160199,141678.885042,22771.789556,49998.201735,9311.597167,24038.98609,34.383649,4795.46077,9100.233822,122363.094772,349596.393023,485889.566036,128863.868359,958854.5770480001,302.77024247298925,68.60897681674851
2004-08-01,15859.703145,50523.241757,13150.318727,11681.974928,142403.484421,26634.867518,48920.355875,12209.22094,23988.570111,20.755301,4626.139562,9409.096029,122997.178839,354348.187427,491401.357158,131542.641616,968315.736196,304.5835021695794,68.5685970586371
2004-09-01,16137.210542,51436.449022,11041.114533,13590.487815,138949.133081,32747.534488,48679.447864,16059.17762,24219.922668,43.893828,4945.669307,10407.535881,123521.475303,361988.548766,500907.123085,172246.233879,1026013.8345969999,291.20854533534083,68.18283243808129
2004-10-01,15534.174636,53142.713827,9823.385367,12157.135198,140425.132248,31839.130577,39182.670249,16140.8914,24317.611047,88.686983,5197.858724,10613.468696,129102.163001,367601.788646,512603.96604999993,137242.240209,992409.0508079999,292.2721044308758,68.55780927193013
2004-11-01,18630.922423,51017.383108,13295.469505,14537.213314,151669.240448,31096.9852,39393.810515,16229.466163,24745.247424,90.584951,4947.474745,11296.906503,133214.476,378048.128655,527597.570854,140441.234865,1028654.543819,281.4550386450458,68.47832901088245
2004-12-01,16239.604336,54663.877355,11124.92684,10573.288135,157959.536994,38233.781339,31929.303881,16037.111961,25093.108634,39.484733,4663.376506,11309.743752,135047.596312,384616.475413,535676.676716,130528.511136,1028059.727327,284.66089739327344,67.61126770110258
2005-01-01,18302.925104,54323.955576,19057.857247,13666.643165,158383.099884,32522.438745,27989.752814,15516.354373,24705.528742,166.603088,4749.583058,10499.131983,135055.578356,387108.724011,537579.620496,152490.76219,1054538.938336,257.193138143112,67.40757808774957
2005-02-01,17414.001518,53994.423618,22232.337496,15048.75169,154924.466968,25549.713923,36979.956971,15288.472112,24325.856087,144.14557,4130.161096,10376.301945,143807.38533,387621.735293,546079.729234,153315.505019,1065153.2146359999,255.98295257090967,67.82769828928015
2005-03-01,25501.436609,45188.893009,26697.711193,12866.819515,157010.997553,18578.891085,36707.33362,15278.785228,24151.560309,85.471907,3480.062157,10482.712002,139624.324086,389442.298557,543114.8687090001,160619.765832,1065717.062662,248.46039156516434,66.78772288237118
2005-04-01,19939.029531,50307.443737,13764.030104,8315.272179,167764.297875,21426.976809,38634.699908,15308.007062,24823.784405,48.062648,4699.804604,10245.584623,153296.121084,396025.846362,564315.419321,152519.877697,1077118.8386279999,263.4169381657787,68.22540705801848
2005-05-01,19084.485147,49256.036574,13980.861791,22304.928015,156910.451171,29318.172903,32465.455685,15360.977207,24840.904745,94.076851,4094.911574,10653.511747,151757.36904,405630.753294,572230.622506,170175.755777,1105928.6515209998,250.9908935835289,69.09779468733458
2005-06-01,18449.267042,55971.071585,13726.243234,12675.099385,168265.688566,35862.696843,41570.7941,15348.042237,24999.131677,84.425965,4365.565429,10758.537615,146097.652269,413368.650994,574674.832272,152474.62357,1114017.4905110002,274.2188718066622,68.41838999347469
2005-07-01,16535.634657,58277.933054,12741.021598,12245.740328,168770.868108,25651.441255,39066.35812,15440.48346,25353.14624,86.133153,4987.362048,11310.382337,162731.469424,423131.972193,602247.319155,173234.435234,1149564.381209,243.2143384316191,70.2286786946244
2005-08-01,18410.832968,55951.048213,11896.014567,11970.800103,167988.679572,34068.335225,43515.237325,15535.156605,28554.626964,106.463893,4629.271607,12551.812086,160940.897989,456731.371804,634959.817379,160510.396882,1183360.9458030001,260.80015183750913,72.8529960138608
2005-09-01,17898.027484,63974.184408,21789.119103,10003.978472,159021.132526,32651.582359,41245.61977,15550.086267,28922.716934,112.708064,4246.443272,12981.450112,162234.899145,471794.518852,651370.019445,151882.961866,1194309.428634,254.34770464983964,73.64417617848372
2005-10-01,19797.02858,63472.74739,27678.757766,11172.644278,166647.193629,36879.100001,33997.951341,15619.41133,29748.44597,176.842399,4578.247463,12355.559147,177974.2308,481105.258452,676190.1382609999,164038.944477,1245242.3630229998,243.43567634996495,73.97885777584372
2005-11-01,20551.984395,62814.684103,18880.860292,11350.721156,174354.654109,35764.821012,37672.624795,15697.009203,29688.744792,102.067814,5006.674944,12466.498386,180827.354351,489144.343542,687546.939037,170544.043751,1264867.086645,246.8201939768366,73.80149190312643
2005-12-01,18366.748349,69114.353705,21698.439853,11578.929055,178518.461393,39561.478704,53099.183723,15679.086574,30157.435028,61.076332,3254.903135,12633.8437,165571.647102,498039.240606,679560.710875,158180.728392,1275515.5556510002,258.6917787974041,71.88815388967586
2006-01-01,19263.186494,67377.900972,14467.073389,10510.004571,184830.955492,48935.914367,52886.371147,20799.215055,29994.448083,114.194712,5091.338301,12731.267799,169078.20232,504862.77501,691877.778142,159262.235108,1300205.08282,272.0682499022659,71.84258763833589
2006-02-01,19096.112265,68347.358092,14474.287742,11857.154495,181073.535823,44261.742866,61084.556929,20877.024031,30688.752684,81.135218,4673.185933,12137.119894,171184.615429,512286.841718,700362.898192,162930.490192,1315053.913311,276.3534882079786,71.82887752007736
